"Run Fondo";"Serie";"fecha";"Tipo de Rentabilidad";"Rentabilidad"
"8263";APV;2023-02-22;"6M";-0.91%
"8263";APV;2023-02-22;"1Y";-0.84%
"8263";APV;2023-02-22;YTD;-0.12%
"8263";APV;2023-02-23;"1M";-0.55%
"8263";APV;2023-02-23;"3M";-0.36%
"8263";APV;2023-02-23;"6M";-0.89%
"8263";APV;2023-02-23;"1Y";-1.11%
"8263";APV;2023-02-23;YTD;-0.13%
"8263";APV;2023-02-24;"1M";-0.44%
"8263";APV;2023-02-24;"3M";-0.22%
"8263";APV;2023-02-24;"6M";-0.83%
"8263";APV;2023-02-24;"1Y";-1.21%
"8263";APV;2023-02-24;YTD;"0.00%"
"8263";APV;2023-02-25;"1M";-0.41%
"8263";APV;2023-02-25;"3M";-0.17%
"8263";APV;2023-02-25;"6M";-0.73%
"8263";APV;2023-02-25;"1Y";-1.19%
"8263";APV;2023-02-25;YTD;"0.01%"
"8263";APV;2023-02-26;"1M";-0.42%
"8263";APV;2023-02-26;"3M";-0.17%
"8263";APV;2023-02-26;"6M";-0.90%
"8263";APV;2023-02-26;"1Y";-1.19%
"8263";APV;2023-02-26;YTD;"0.02%"
"8263";APV;2023-02-27;"1M";-0.33%
"8263";APV;2023-02-27;"3M";-0.10%
"8263";APV;2023-02-27;"6M";-0.83%
"8263";APV;2023-02-27;"1Y";-1.12%
"8263";APV;2023-02-27;YTD;"0.10%"
"8263";APV;2023-02-28;"1M";-0.27%
"8263";APV;2023-02-28;"3M";"0.06%"
"8263";APV;2023-02-28;"6M";-0.77%
"8263";APV;2023-02-28;"1Y";-1.05%
"8263";APV;2023-02-28;YTD;"0.16%"
"8263";APV;2023-03-01;"1M";-0.12%
"8263";APV;2023-03-01;"3M";-0.09%
"8263";APV;2023-03-01;"6M";-0.83%
"8263";APV;2023-03-01;"1Y";-1.46%
"8263";APV;2023-03-01;YTD;"0.04%"
"8263";APV;2023-03-02;"1M";-0.31%
"8263";APV;2023-03-02;"3M";-0.24%
